date,series_id,value
2012-10-31,OIL_BRENT,109.89
2012-11-01,OIL_BRENT,108.84
2012-11-02,OIL_BRENT,106.79
2012-11-05,OIL_BRENT,105.59
2012-11-06,OIL_BRENT,109.27
2012-11-07,OIL_BRENT,108.21
2012-11-08,OIL_BRENT,107.23
2012-11-09,OIL_BRENT,108.61
2012-11-12,OIL_BRENT,110.23
2012-11-13,OIL_BRENT,108.82
2012-11-14,OIL_BRENT,109.66
2012-11-15,OIL_BRENT,110.07
2012-11-16,OIL_BRENT,106.81
2012-11-19,OIL_BRENT,110.06
2012-11-20,OIL_BRENT,110.01
2012-11-21,OIL_BRENT,110.81
2012-11-23,OIL_BRENT,110.14
2012-11-26,OIL_BRENT,110.18
2012-11-27,OIL_BRENT,109.33
2012-11-28,OIL_BRENT,108.26
2012-11-29,OIL_BRENT,110.47
2012-11-30,OIL_BRENT,110.84
2012-12-03,OIL_BRENT,111.27
2012-12-04,OIL_BRENT,109.99
2012-12-05,OIL_BRENT,108.96
2012-12-06,OIL_BRENT,108.01
2012-12-07,OIL_BRENT,107.16
2012-12-10,OIL_BRENT,108.25
2012-12-11,OIL_BRENT,107.6
2012-12-12,OIL_BRENT,110.17
2012-12-13,OIL_BRENT,110.18
2012-12-14,OIL_BRENT,109.28
2012-12-17,OIL_BRENT,109.35
2012-12-18,OIL_BRENT,109.96
2012-12-19,OIL_BRENT,109.95
2012-12-20,OIL_BRENT,110.57
2012-12-21,OIL_BRENT,109.13
2012-12-24,OIL_BRENT,108.44
2012-12-26,OIL_BRENT,110.72
2012-12-27,OIL_BRENT,110.04
2012-12-28,OIL_BRENT,110.05
2012-12-31,OIL_BRENT,110.8
2013-01-02,OIL_BRENT,112.98
2013-01-03,OIL_BRENT,113.03
2013-01-04,OIL_BRENT,112.58
2013-01-07,OIL_BRENT,112.49
2013-01-08,OIL_BRENT,113.03
2013-01-09,OIL_BRENT,113.07
2013-01-10,OIL_BRENT,112.97
2013-01-11,OIL_BRENT,110.3
2013-01-14,OIL_BRENT,111.32
2013-01-15,OIL_BRENT,111.72
2013-01-16,OIL_BRENT,110.97
2013-01-17,OIL_BRENT,111.01
2013-01-18,OIL_BRENT,111.71
2013-01-22,OIL_BRENT,112.72
2013-01-23,OIL_BRENT,113.68
2013-01-24,OIL_BRENT,114.59
2013-01-25,OIL_BRENT,113.88
2013-01-28,OIL_BRENT,113.92
2013-01-29,OIL_BRENT,115.22
